ID,Suburb,WaterView,FloodingZone,LogDistance,LogLand,LogFloor,LogValue2022,,,Leg.Desc,Full Address,Lat,Long,Distance to Coast,Land Area,Floor Area,Value 2022,,,,,
59,New Brighton,0,0,5.384128023,6.226536669,4.718498871,13.2820263,,,Lot 1 DP 16976,10 JERVOIS ST,-43.5182173,172.7334567,217.92,506,112,"$586,557.68",,,,,
60,New Brighton,0,0,5.829827582,6.416732283,4.532599493,13.30024276,,,Lot 1 DP 16985,30 HOWE ST,-43.5058804,172.7272605,340.3,612,93,"$597,340.60",,,,,
61,Southshore,0,1,4.62045281,6.408528791,5.198497031,13.61406097,,,Lot 1 DP 17112,80 ROCKING HORSE RD,-43.5452325,172.7448467,101.54,607,181,"$817,544.79",,,,,
62,New Brighton,0,0,6.832740742,6.408528791,5.384495063,13.15362013,,,Lot 1 DP 17143,179 KEYES RD,-43.4986252,172.7174209,927.73,607,218,"$515,875.19",,,,,
63,Southshore,0,1,5.242434609,6.756932389,5.030437921,13.52272232,,,Lot 1 DP 17371,59 A ROCKING HORSE RD,-43.5432474,172.74487,189.13,860,153,"$746,180.14",,,,,
64,New Brighton,0,0,7.095122419,6.536691598,4.882801923,13.66633106,,,Lot 1 DP 17461,157 BAKER ST,-43.5047074,172.7158664,1206.07,690,132,"$861,414.48",,,,,
65,South New Brighton,0,0,5.624991761,6.226536669,4.624972813,13.41323809,,,Lot 1 DP 17567,165 PINE AV,-43.5257109,172.7358118,277.27,506,102,"$668,798.49",,,,,
66,New Brighton,0,0,5.376758793,6.967909202,4.727387819,13.83135638,,,Lot 1 DP 17642,336 MARINE PD,-43.5194394,172.7341969,216.32,1062,113,"$1,015,972.03",,,,,
67,North New Brighton,0,0,7.064588073,6.768493212,4.634728988,12.76733182,,,Lot 1 DP 17725,252 BOWER AV,-43.4916021,172.7116832,1169.8,870,103,"$350,575.66",,,,,
68,New Brighton,0,0,6.98186968,6.522092798,4.691347882,13.41062323,,,Lot 1 DP 17792,175 BOWHILL RD,-43.4976704,172.7150633,1076.93,680,109,"$667,051.97",,,,,
69,South New Brighton,0,0,5.814966004,6.413458957,4.644390899,13.50977276,,,Lot 1 DP 17938,389 PINE AV,-43.5355005,172.7400854,335.28,610,104,"$736,579.72",,,,,
70,New Brighton,0,0,5.85464203,6.632001777,5.135798437,13.31216362,,,Lot 1 DP 18119,41 HOOD ST,-43.510394,172.7289201,348.85,759,170,"$604,504.03",,,,,
71,Southshore,0,1,4.666829566,6.456769656,4.86753445,13.51471916,,,Lot 1 DP 18141,50 ROCKING HORSE RD,-43.5427934,172.7438902,106.36,637,130,"$740,232.17",,,,,
72,South New Brighton,0,1,5.012167453,6.429719478,4.86753445,13.63376678,,,Lot 1 DP 18186,17 CASPIAN ST,-43.5381339,172.7420996,150.23,620,130,"$833,814.96",,,,,
73,South New Brighton,1,0,5.092829532,6.226536669,5.521460918,13.62555997,,,Lot 1 DP 18220,406 MARINE PD,-43.5255064,172.7372536,162.85,506,250,"$827,000.00",,,,,
74,South New Brighton,0,0,5.385274575,6.618738984,4.852030264,13.44255615,,,Lot 1 DP 18434,180 ESTUARY RD,-43.5271207,172.7341345,218.17,749,128,"$688,696.63",,,,,
75,Southshore,0,1,4.670864289,6.413458957,5.257495372,14.02210585,,,Lot 1 DP 18450,41 ROCKING HORSE RD,-43.5412992,172.7438437,106.79,610,192,"$1,229,484.89",,,,,
76,South New Brighton,0,0,5.747990729,6.51174533,4.634728988,13.5427171,,,Lot 1 DP 18754,152 PINE AV,-43.525111,172.7351092,313.56,673,103,"$761,250.00",,,,,
77,Southshore,0,1,4.630057901,6.33150185,5.105945474,13.32871586,,,Lot 1 DP 18852,94 ROCKING HORSE RD,-43.5468003,172.7456652,102.52,562,165,"$614,593.20",,,,,
78,South New Brighton,0,0,5.025195445,6.240275845,5.010635294,13.59806063,,,Lot 1 DP 18936,486 MARINE PD,-43.5323199,172.7402514,152.2,513,150,"$804,567.89",,,,,
79,New Brighton,0,0,5.490465484,6.293419279,4.248495242,13.32998047,,,Lot 1 DP 19137,17 TOVEY ST,-43.5170935,172.7327143,242.37,541,70,"$615,370.91",,,,,
80,Southshore,0,1,4.612642201,6.284134161,5.262690189,12.72188581,,,Lot 1 DP 19246,150 ROCKING HORSE RD,-43.551336,172.7479611,100.75,536,193,"$335,000.00",,,,,
81,New Brighton,0,0,5.100597868,6.421622268,5.017279837,13.48940136,,,Lot 1 DP 19269,332 MARINE PD,-43.5188898,172.7344628,164.12,615,151,"$721,726.37",,,,,
82,Southshore,0,1,4.962984481,6.481577129,4.644390899,13.54198475,,,Lot 1 DP 19359,53 ROCKING HORSE RD,-43.5428924,172.7443271,143.02,653,104,"$760,692.71",,,,,
83,South New Brighton,0,0,5.581803147,6.727431725,5.192956851,13.88857446,,,Lot 1 DP 19394,177 ESTUARY RD,-43.5268567,172.7345265,265.55,835,180,"$1,075,799.28",,,,,
84,Southshore,0,1,5.027689049,6.774223886,4.912654886,13.81991303,,,Lot 1 DP 19427,57 ROCKING HORSE RD,-43.5432426,172.7444118,152.58,875,136,"$1,004,412.17",,,,,
85,Southshore,0,1,5.21166956,6.472346295,5.379897354,13.96596924,,,Lot 1 DP 19582,177 ROCKING HORSE RD,-43.553807,172.7493951,183.4,647,217,"$1,162,367.28",,,,,
86,Southshore,0,1,4.74961679,6.352629396,4.49980967,13.10188775,,,Lot 1 DP 19614,117 ROCKING HORSE RD,-43.548319,172.7468131,115.54,574,90,"$489,866.29",,,,,
87,South New Brighton,0,0,5.531213209,6.408528791,4.875197323,13.42276221,,,Lot 1 DP 20237,11 MALTA CR,-43.536227,172.7398543,252.45,607,131,"$675,198.64",,,,,
88,New Brighton,0,0,7.171940961,6.64118217,4.430816799,13.44160891,,,Lot 1 DP 20385,102 PALMERS RD,-43.5002701,172.7133731,1302.37,766,84,"$688,044.58",,,,,
89,New Brighton,0,0,4.957656369,6.240275845,4.882801923,13.41353934,,,Lot 1 DP 20412,9 LONSDALE ST,-43.5030296,172.7285954,142.26,513,132,"$669,000.00",,,,,
90,New Brighton,0,0,7.054354662,6.210600077,5.159055299,13.47725994,,,Lot 1 DP 20534,139 BAKER ST,-43.5037784,172.7159233,1157.89,498,174,"$713,016.57",,,,,
91,Southshore,0,1,4.763369801,6.651571874,4.787491743,13.58833608,,,Lot 1 DP 20859,129 ROCKING HORSE RD,-43.5496975,172.7475084,117.14,774,120,"$796,781.75",,,,,
92,North New Brighton,0,0,6.041729813,7.304515946,5.438079309,13.8408061,,,Lot 1 DP 20907,62 LEAVER TC,-43.4945852,172.7220013,420.62,1487,230,"$1,025,618.19",,,,,
93,North New Brighton,0,0,7.123858102,6.274762021,5.288267031,13.66235516,,,Lot 1 DP 21047,234 BOWER AV,-43.4934548,172.711372,1241.23,531,198,"$857,996.38",,,,,
